ID,CREDIT,GENDER,EDUCATION,MARRIAGE,AGE,PAY_FEB,PAY_JAN,PAY_DEC,BILL_AMT_FEB,BILL_AMT_JAN,BILL_AMT_DEC,PAY_AMT_FEB,PAY_AMT_JAN,PAY_AMT_DEC,DEFAULT_MAR
1,20000,Female,Post Graduate,Married,24,2,2,-1,3913,3102,689,0,689,0,1
2,120000,Female,Post Graduate,Single,26,-1,2,-1,2682,1725,2682,0,1000,1000,1
3,90000,Female,Post Graduate,Single,34,-1,-1,-1,29239,14027,13559,1518,1500,1000,0
4,50000,Female,Post Graduate,Married,37,-1,-1,-1,46990,48233,49291,2000,2019,1200,0
5,50000,Male,Post Graduate,Married,57,-1,-1,-1,8617,5670,35835,2000,36681,10000,0
6,50000,Male,Graduate,Single,37,-1,-1,-1,64400,57069,57608,2500,1815,657,0
7,500000,Male,Graduate,Single,29,-1,-1,-1,367965,412023,445007,55000,40000,38000,0
8,100000,Female,Post Graduate,Single,23,-1,-1,-1,11876,380,601,380,601,0,0
9,140000,Female,High School,Married,28,-1,-1,2,11285,14096,12108,3329,0,432,0
10,20000,Male,High School,Single,35,-1,-1,-1,0,0,0,0,0,0,0
11,200000,Female,High School,Single,34,-1,-1,2,11073,9787,5535,2306,12,50,0
12,260000,Female,Graduate,Single,51,-1,-1,-1,12261,21670,9966,21818,9966,8583,0
13,630000,Female,Post Graduate,Single,41,-1,-1,-1,12137,6500,6500,1000,6500,6500,0
14,70000,Male,Post Graduate,Single,30,1,2,2,65802,67369,65701,3200,0,3000,1
15,250000,Male,Graduate,Single,29,-1,-1,-1,70887,67060,63561,3000,3000,3000,0
16,50000,Female,High School,Others,23,1,2,-1,50614,29173,28116,0,1500,1100,0
17,20000,Male,Graduate,Single,24,-1,-1,2,15376,18010,17428,3200,0,1500,1
18,320000,Male,Graduate,Married,49,-1,-1,-1,253286,246536,194663,10358,10000,75940,0
19,360000,Female,Graduate,Married,49,1,-1,-1,0,0,0,0,0,0,0
20,180000,Female,Graduate,Single,29,1,-1,-1,0,0,0,0,0,0,0
21,130000,Female,High School,Single,39,-1,-1,-1,38358,27688,24489,3000,1537,1000,0
22,120000,Female,Post Graduate,Married,39,-1,-1,-1,316,316,316,316,316,0,1
23,70000,Female,Post Graduate,Single,26,2,-1,-1,41087,42445,45020,2007,3582,0,1
24,450000,Female,Graduate,Married,40,-1,-1,-1,5512,19420,1473,19428,1473,560,1
25,90000,Male,Graduate,Single,23,-1,-1,-1,4744,7070,0,5757,0,5398,0
26,50000,Male,High School,Single,23,-1,-1,-1,47620,41810,36023,1973,1426,1001,0
27,60000,Male,Graduate,Single,27,1,-1,-1,-109,-425,259,0,1000,0,1
28,50000,Female,High School,Single,30,-1,-1,-1,22541,16138,17163,1300,1300,1000,0
29,50000,Female,High School,Married,47,-1,-1,-1,650,3415,3416,3415,3421,2044,0
30,50000,Male,Graduate,Single,26,-1,-1,-1,15329,16575,17496,1500,1500,1000,0
31,230000,Female,Graduate,Single,27,-1,-1,-1,16646,17265,13266,17270,13281,15339,0
32,50000,Male,Post Graduate,Single,33,2,-1,-1,30518,29618,22102,1718,1500,1000,1
33,100000,Male,Graduate,Single,32,-1,-1,-1,93036,84071,82880,3023,3511,3302,0
34,500000,Female,Post Graduate,Married,54,-1,-1,-1,10929,4152,22722,4152,22827,7521,0
35,500000,Male,Graduate,Married,58,-1,-1,-1,13709,5006,31130,5006,31178,3180,0
36,160000,Male,Graduate,Single,30,-1,-1,-1,30265,-131,-527,131,396,396,0
37,280000,Male,Post Graduate,Married,40,-1,-1,-1,186503,181328,180422,8026,8060,6300,0
38,60000,Female,Post Graduate,Single,22,-1,-1,-1,15054,9806,11068,1500,1518,2043,0
39,50000,Male,Graduate,Single,25,1,-1,-1,0,780,0,780,0,0,1
40,280000,Male,Graduate,Single,31,-1,-1,2,498,9075,4641,9075,0,9976,0
